Company/Brand,Stage,Amount($),HeadQuarter,What it does,Sector,Funded Year,Founded,Investor
Thecollegefever,Seed,250000,Bangalore,"Thecollegefever is a hub for fun, fiesta and frolic of colleges.",Marketing,2018,,Nan
Happy cow dairy,Seed,584000,Mumbai,A startup which aggregates milk from dairy farmers in rural maharashtra.,Agritech,2018,,Nan
Myloancare,Series A,949000,Gurgaon,Leading online loans marketplace in india,Fintech,2018,,Nan
Payme india,Seed,2000000,Noida,Payme india is an innovative fintech organization which offers short term financial suport to corporate employees.,Fintech,2018,,Nan
Eunimart,Seed,0,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,E-commerce,2018,,Nan
Hasura,Seed,1600000,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Saas,2018,,Nan
Tripshelf,Seed,233600,Kalkaji,Tripshelf is an online market place for holiday packages.,E-commerce,2018,,Nan
Hyperdata.io,Seed,730000,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,Robotics,2018,,Nan
Freightwalla,Seed,0,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Technology,2018,,Nan
Microchip payments,Seed,0,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,Fintech,2018,,Nan
Bizcrum infotech pvt. ltd.,Seed,0,Delhi,Building transactionary b2b marketplaces,E-commerce,2018,,Nan
Emojifi,Seed,0,Bengaluru,"Emojifi is an app that provides live emoji, stickers & gifs suggestions based on the typed words across chat platforms.",Digital media,2018,,Nan
Flock,Seed,0,Mumbai,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Saas,2018,,Nan
Freshboxx,Seed,0,Hubli,"Freshboxx is incubated at sandbox startups, a unit of the deshpande foundation.",Delivery services,2018,,Nan
Wide mobility mechatronics,Seed,0,Bangalore,Wide mobility mechatronics is a private company limited by shares,Automation,2018,,Nan
Pitstop,Seed,1460000,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Car rental,2018,,Nan
Mihuru,Seed,150000,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,Fintech,2018,,Nan
Fyle,Seed,1100000,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,Fintech,2018,,Nan
Appwharf,Seed,0,New delhi,Appwharf is an intelligent assistant that helps find you the best-fit saas for your business.,AI,2018,,Nan
Antariksh waste ventures pvt ltd,Seed,7300,Chennai,Waste management for smart cities,Waste management,2018,,Nan
Cogoport,Series A,6000000,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,Transport,2018,,Nan
Paisadukan,Seed,650000,Mumbai,A p2p lending marketplace platform,Fintech,2018,,Nan
Sleepy owl coffee,Seed,511000,New delhi,"Makers of a signature coffee that's exceptional in taste. it's super easy to brew, requires no equipment & ships to your door.",Food and Beverages,2018,,Nan
Bluejack,Seed,934400,Delhi,Delhi-based online used vehicles marketplace.,Car rental,2018,,Nan
Pregbuddy,Seed,0,Bengaluru,Pregbuddy is a smart connected care platform for expecting mothers.,Healthcare,2018,,Nan
Agnext technologies,Series A,0,Mohali,Agnext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,Agrictech,2018,,Nan
Pando,Seed,2000000,Chennai,A startup which digitizes logistics operations for fortune 500 companies.,E-logistics,2018,,Nan
Mintifi,Seed,2000000,Mumbai,Online lending startup based in mumbai.,Finance,2018,,Nan
Carcrew,Seed,2000000,Mumbai,India's online auto repair marketplace,E-commerce,2018,,Nan
Nicheai,Seed,0,Hyderabad,Early stage artificial intelligence (ai) start up.,AI,2018,,Nan
Chariot tech,Seed,292000,New delhi,Chariot tech is an internet of things (iot) startup based in new delhi.,Iot,2018,,Nan
Ideal insurance brokers/ 121policy.com,Seed,1000000,Kolkata,Ideal insurance broking is one of the leaders in insurance broking domain.,Insurance,2018,,Nan
Loanzen,Seed,0,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,Fintech,2018,,Nan
Mojro technologies,Seed,650000,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,E-logistics,2018,,Nan
Elemential,Seed,1000000,Mumbai,"Blockchain development platform to design, run & scale blockchain networks.",Saas,2018,,Nan
Loadshare,Series A,5000000,Bengaluru,Loadshare is india’s fastest growing logistics company,Logistics,2018,,Nan
Yumlane,Series A,4000000,Mumbai,Food startup yumlane operated by qwikpik technology,Food and Beverages,2018,,Nan
Kriger campus,Seed,438000,New delhi,A education start up.,Education,2018,,Nan
Pipa+bella,Series A,1000000,Mumbai,Pipa+bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,E-commerce,2018,,Nan
Kaleidofin,Seed,2800000,Chennai,A fintech platform.,Fintech,2018,,Nan
Chakr innovation,Seed,0,New delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,Renewable energy,2018,,Nan
Indigolearn,Seed,150000,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the ca community.,Edtech,2018,,Nan
Uclean,Seed,584000,Faridabad,Uclean is a tech enabled laundry service provider.,Clean tech,2018,,Nan
Coutloot,Seed,1000000,Mumbai,The fashion re-commerce platform.,E-commerce,2018,,Nan
Letstrack,Seed,1700000,New delhi,"Letstrack gps tracking devices to track your kids, bike, car and other vehicles. gps trackers for vehicle tracking system in india.",Saas,2018,,Nan
Pooltoo,Seed,0,New delhi,Pooltoo offers a premium ride sharing platform.,Transport,2018,,Nan
Finzy,Seed,1300000,Bangalore,Finzy is the premier peer to peer lending solution in india.,Finance,2018,,Nan
Fitternity,Seed,2000000,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,Healthcare,2018,,Nan
Keito,Seed,0,Pune,Building an intelligent digital assistant.,AI,2018,,Nan
Tolet for students,Seed,73000,Jodhpur,"Reserve your room, hostel or paying guest, while relocating for higher education.",Hospitality,2018,,Nan
Chai kings,Seed,292000,Chennai,Chai kings is a tea retail chain,Food and Beverages,2018,,Nan
Dainik jagran,Seed,584000,Kanpur,Dainik jagran is a media and communications group.,Media and marketing,2018,,Nan
Playtoome,Seed,292000,Bengaluru,Playtoome is a live entertainment destination,Media and marketing,2018,,Nan
Ongo framework,Seed,1000000,Hyderabad,Ongo framework is a b2b it and digital solution provider.,E-commerce,2018,,Nan
Notesgen,Seed,182500,New delhi,A global peer-to-peer and peer-to-group learning platform that helps students supplement their academic & competitive exam prep.,Edtech,2018,,Nan
Arogya medtech,Seed,219000,Kolkata,Arogya medtech is a research & development organization in bio-medical industry.,Healthcare,2018,,Nan
Propshop24,Seed,500000,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",Automotive and rentals,2018,,Nan
Myupchar,Series A,5000000,New delhi,To bring health issues to people in their language.,Healthcare,2018,,Nan
Missmalini entertainment,Seed,1518400,Mumbai,"Missmalini entertainment is a multi-platform new media network dedicated to entertaining, connecting & empowering young indians.",Fintech,2018,,Nan
Rooter,Seed,657000,New delhi,Rooter is a mobile-based platform,Sports,2018,,Nan
Zestmoney,Series A,13400000,Bangalore,Zest is india's first completely automated consumer digital lending platform.,Fintech,2018,,Nan
Alphaics corporation,Seed,0,Bengaluru,Advancing ai compute,AI,2018,,Nan
Mydentistchoice,Seed,500000,Hyderabad,Mydentistchoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,Healthcare,2018,,Nan
Sattviko,Seed,0,New delhi,Sattviko fosters wellness and shares indianness through the sattvik way of cooking that is wholesome and tasty!,Food and Beverages,2018,,Nan
Sensibull,Seed,365000,Bangalore,Investment management platform,Fintech,2018,,Nan
Bombay shaving company,Series A,0,New delhi,Bombay shaving company is a men's grooming startup,Fashion,2018,,Nan
Medcords,Seed,385440,Pune,Medcords is india’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,Healthcare,2018,,Nan
University living,Seed,0,New delhi,University living is an online global student housing marketplace.,Education,2018,,Nan
&me,Seed,0,Bangalore,Food and beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,Food and Beverages,2018,,Nan
Enakshi,Seed,116800,Ahmedabad,Enakshi is an online apparel brand for women.,Fashion,2018,,Nan
Ultraviolette automotive,Series A,876,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,Automotive,2018,,Nan
Inthree access,Series A,4000000,Chennai,Inthree access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in rural india.,Real estate,2018,,Nan
Bugworks research india,Series A,9000000,Bangalore,Bugworks is a drug discovery company.,Healthcare,2018,,Nan
Guardian.in,Seed,0,Mumbai,Gnc is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,Healthcare,2018,,Nan
